epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8557,1.51211,4.63531,1.32954,0.00078,0.18182,0.00022,0.00013,1.2967,4.10819,1.29517,5.001e-05,5.001e-05,5.001e-05
2,5.19589,1.46661,4.46435,1.26753,0.00137,0.31818,0.00343,0.00264,1.12398,3.92066,1.06789,0.00011438,0.00011438,0.00011438
3,6.55633,1.37607,3.91136,1.13558,0.00199,0.45455,0.32992,0.20441,1.03944,3.64618,0.95516,0.000176109,0.000176109,0.000176109
4,8.02609,1.41239,3.02129,1.11413,0.00206,0.45455,0.36457,0.25717,1.07908,3.54509,0.93362,0.000235197,0.000235197,0.000235197
5,9.3843,1.24553,2.45003,1.05557,0.00216,0.5,0.38666,0.29149,1.13878,3.54572,0.94824,0.000291645,0.000291645,0.000291645
6,11.5499,1.25052,2.2804,1.06821,0.00231,0.54545,0.37014,0.2455,1.09505,3.55148,0.93818,0.000345452,0.000345452,0.000345452
7,13.781,1.294,2.2505,1.04187,0.0021,0.5,0.31038,0.20043,1.07444,3.53045,0.94347,0.000396619,0.000396619,0.000396619
8,15.2487,1.27901,2.18789,1.0758,0.00212,0.5,0.19268,0.12212,1.12599,3.51023,0.94848,0.000445146,0.000445146,0.000445146
9,16.5383,1.18646,1.97655,1.04304,0.00212,0.5,0.16441,0.11446,1.14761,3.49127,0.96455,0.000491032,0.000491032,0.000491032
10,17.8729,1.2193,2.06981,1.08367,0.00254,0.59091,0.11201,0.06995,1.16846,3.42613,1.01002,0.000534277,0.000534277,0.000534277
11,19.2113,1.14434,1.9362,1.09059,0.00294,0.68182,0.00282,0.00121,1.19091,3.48213,1.00984,0.000574882,0.000574882,0.000574882
12,20.5473,1.16443,2.06284,1.04287,0.00313,0.72727,0.05639,0.04479,1.20527,3.43727,1.01403,0.000612846,0.000612846,0.000612846
13,21.827,1.28023,1.83173,1.05222,0.00371,0.86364,0.37874,0.29167,1.15352,3.22543,0.96639,0.00064817,0.00064817,0.00064817
14,23.1376,1.08894,1.93485,1.00787,0.0035,0.81818,0.41577,0.32489,1.13683,3.19215,0.9562,0.000680853,0.000680853,0.000680853
15,24.6826,1.2296,1.75038,1.0171,0.00371,0.86364,0.46536,0.36774,1.12328,3.09102,0.95544,0.000710895,0.000710895,0.000710895
16,26.76,1.13219,1.65585,1.00387,0.00391,0.90909,0.55917,0.43656,1.11168,2.98579,0.95521,0.000738298,0.000738298,0.000738298
17,28.7463,1.116,1.72129,1.02909,0.00371,0.86364,0.6424,0.49966,1.07276,2.82397,0.96165,0.000763059,0.000763059,0.000763059
18,30.4713,1.08784,1.59787,1.01608,0.90035,0.53066,0.68952,0.53583,1.02577,2.64291,0.93607,0.00078518,0.00078518,0.00078518
19,31.8288,1.1699,1.76973,1.00849,0.70162,0.5686,0.64916,0.51419,0.99789,2.6853,0.92153,0.000804661,0.000804661,0.000804661
20,33.1243,1.10377,1.60713,1.02676,0.79338,0.12079,0.58572,0.47012,1.00897,2.7368,0.92098,0.000821501,0.000821501,0.000821501
21,34.4823,1.0375,1.64261,1.00208,0.79379,0.47226,0.67318,0.52436,1.11849,2.40474,0.95289,0.0008357,0.0008357,0.0008357
22,35.7862,1.06925,1.59803,1.07533,0.75462,0.48111,0.67174,0.51536,1.09385,2.28277,0.95058,0.000847259,0.000847259,0.000847259
23,37.1289,1.05211,1.52998,1.04435,0.69285,0.44934,0.69256,0.51397,1.04777,2.28426,0.94184,0.000856178,0.000856178,0.000856178
24,38.4786,1.04708,1.58585,1.01136,0.89422,0.57273,0.76148,0.56486,1.02233,2.18897,0.93615,0.000862456,0.000862456,0.000862456
25,39.9714,1.06845,1.47816,1.00061,0.82853,0.62542,0.72527,0.54632,1.03727,2.06916,0.94021,0.000866093,0.000866093,0.000866093
26,41.8903,1.04977,1.50125,0.98728,0.67335,0.57882,0.6656,0.4948,1.04054,2.0159,0.9461,0.000841835,0.000841835,0.000841835
27,43.7784,1.05141,1.54627,1.0234,0.7457,0.72727,0.66544,0.5023,1.01483,1.88545,0.94394,0.000808828,0.000808828,0.000808828
28,45.4989,0.95232,1.38476,0.97823,0.77915,0.65235,0.69036,0.50888,1.0451,1.80696,0.94451,0.000775822,0.000775822,0.000775822
29,46.8468,1.026,1.29762,0.983,0.77544,0.67171,0.70492,0.51976,1.0661,1.77722,0.94481,0.000742815,0.000742815,0.000742815
30,48.0799,0.99478,1.3479,1.01516,0.76296,0.67648,0.71842,0.51456,1.12079,1.80857,0.95854,0.000709809,0.000709809,0.000709809
31,49.4316,0.94438,1.31374,0.9429,0.90382,0.6632,0.77118,0.5204,1.23729,1.6828,1.01436,0.000676802,0.000676802,0.000676802
32,50.7406,0.9512,1.32734,0.94662,0.90089,0.67561,0.78487,0.54787,1.19452,1.49115,1.0042,0.000643795,0.000643795,0.000643795
33,51.9782,1.00622,1.35534,0.99119,0.97718,0.66917,0.77241,0.55561,1.14511,1.45984,0.97941,0.000610789,0.000610789,0.000610789
34,53.7788,0.93287,1.1974,0.9296,0.96253,0.67401,0.75437,0.55702,1.1831,1.49859,0.97705,0.000577782,0.000577782,0.000577782
